owner_username,is_verified,followers,shortcode,timestamp,caption,likes,comments,hashtags,is_video,video_url,video_duration,image_url,is_sponsored
beek_speeks,NO,80,DEzAzkDSZ4M,2025-01-14 07:08:35,"எல்லாருக்கும் இனிய பொங்கல்  நல்வாழ்த்துக்கள் 🌾

வா டா நீ ஸ்பர்ஸ் 🤍💙‼️‼️‼️

------------------------------------------------------------

Wish You All A Very Happy Pongal 🌾

Come On You Spurs 🤍💙‼️‼️‼️

#tottenhamhotspur #spurs #thfc #pongalopongal #spursindia @spursindia #pongal #indian #tamil #singapore #football #footballfans #premierleague",6,1,"['tottenhamhotspur', 'spurs', 'thfc', 'pongalopongal', 'spursindia', 'pongal', 'indian', 'tamil', 'singapore', 'football', 'footballfans', 'premierleague']",False,,,https://instagram.fsin15-2.fna.fbcdn.net/v/t51.29350-15/473775278_1557178784916569_3636417337767744335_n.heic?stp=dst-jpg_e35_tt6&_nc_ht=instagram.fsin15-2.fna.fbcdn.net&_nc_cat=105&_nc_ohc=mR7dXq0D9dYQ7kNvgGU3D2C&_nc_gid=a521688c230e4dd98f9b087a932f63a5&edm=AEhyXUkBAAAA&ccb=7-5&ig_cache_key=MzU0NTE4MDg2NjgzNjE4OTA4Ng%3D%3D.3-ccb7-5&oh=00_AYACoJ1809-UWCGoML8llk37lmb-Bur93Zp7gtJPIuxPxA&oe=678FC43C&_nc_sid=8f1549,False
beek_speeks,NO,80,DEg14emSPbe,2025-01-07 05:46:58,"Come one my man, get us more players 😩‼️

#tottenhamhotspur #thfc #spurs #PremierLeague #angepostecoglou #daniellevy #transferwindow #squidgame",4,0,"['tottenhamhotspur', 'thfc', 'spurs', 'premierleague', 'angepostecoglou', 'daniellevy', 'transferwindow', 'squidgame']",True,https://instagram.fsin15-2.fna.fbcdn.net/o1/v/t16/f2/m86/AQP64u-_jGnvx0kWN4XC3rrqIDybEkp6Dg0-IL4VfTRo-7KWVxZcPQ6sWuC-1ZqoEhSP136XY8KBKDNHyYPEl1i_9BUjL8DYpIXrzVQ.mp4?stp=dst-mp4&efg=eyJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSIsInZlbmNvZGVfdGFnIjoidnRzX3ZvZF91cmxnZW4uY2xpcHMuYzIuNzIwLmJhc2VsaW5lIn0&_nc_cat=107&vs=9434304669927044_309679583&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC9EMTQ1MTQzRjJFRDk4N0Q5MUQ5RTg2NjZCMTNGMjdCRF92aWRlb19kYXNoaW5pdC5tcDQVAALIAQAVAhg6cGFzc3Rocm91Z2hfZXZlcnN0b3JlL0dId0VMQnhWNU8xajVvMERBSWllLWxZVUtYc1BicV9FQUFBRhUCAsgBACgAGAAbABUAACbGnouM9rmSQBUCKAJDMywXQCSqfvnbItEYEmRhc2hfYmFzZWxpbmVfMV92MREAdf4HAA%3D%3D&ccb=9-4&oh=00_AYA74BQytFnSC11Y3YK3F4wiWAqq-m31i6erBztULN78XQ&oe=678BD50C&_nc_sid=8f1549,10.38,,False
beek_speeks,NO,80,DELAmr0Tin_,2024-12-29 18:20:11,"Matchweek 19:
Spurs vs Wolves

Frustrating watch tonight 😤!! 

We only seem to play with actual intent, only when we are a goal down or when a penalty is missed

Gutted to see Udogie injured and Bentancur suspended for 1 game yet again 😭💔

The positives from today were the 2 goals by Bentancur and Johnson, as well as the individual performances of Kulusevski, Reguilón and Bentancur 🙂

We can easily go and blame Levy and Ange for poor decisions. But it is also important to realise that there should actually be a player that goes above and beyond, and most importantly rally the team along to win the game, instead of only being satisfied with assists and goals.

2024 was a wild rollercoaster ride for us fans!! May 2025 be the year that starts the steadying of his highly unpredictable football club 🙏🏼🙏🏼

COME ON YOU SPURS 🤍💙‼️

#tottenhamhotspur #thfc #spurs #wolves #spursvswolves  #premierleague #epl #matchweek19 #football #instafootball #singapore #reels",4,0,"['tottenhamhotspur', 'thfc', 'spurs', 'wolves', 'spursvswolves', 'premierleague', 'epl', 'matchweek19', 'football', 'instafootball', 'singapore', 'reels']",True,https://instagram.fsin15-1.fna.fbcdn.net/o1/v/t16/f2/m86/AQOYkuNOsJ-etvPOUfQX6weHSvDO0zojxDInHB6aA3Sk6l34hSo1V3XHvCB_HROZivSyV065SemO3-h19uouY0cKCN1OJvc5cO60Qsg.mp4?stp=dst-mp4&efg=eyJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSIsInZlbmNvZGVfdGFnIjoidnRzX3ZvZF91cmxnZW4uY2xpcHMuYzIuNzIwLmJhc2VsaW5lIn0&_nc_cat=108&vs=852332616871301_2822645317&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC80NzRDOURCQzRENzMzQzgzRDIxNTAzQjU3NDU1QjQ5RV92aWRlb19kYXNoaW5pdC5tcDQVAALIAQAVAhg6cGFzc3Rocm91Z2hfZXZlcnN0b3JlL0dQNXlGeHlOU1g4eWhwSUZBQXJaOFEyZ3Exc1BicV9FQUFBRhUCAsgBACgAGAAbABUAACakyv3589fkPxUCKAJDMywXQHJV2yLQ5WAYEmRhc2hfYmFzZWxpbmVfMV92MREAdf4HAA%3D%3D&ccb=9-4&oh=00_AYAdsxMBLCO2nxG37Gsz_Iwk2Mv1dHnWsLT_J0IETdZSIw&oe=678BF7C7&_nc_sid=8f1549,293.366,,False
beek_speeks,NO,80,DEDK3PhyuK2,2024-12-26 17:13:13,"Matchweek 18:
Nottingham Forest vs Spurs

Another lackluster performance and I've ran out of words to speak, hence this silent video 🤐

Spence received a Nice Red Hong Bao post Christmas 🧧🤑 and now we'll be seeing Destiny and Porro back in the wings against Wolves 🫠

#tottenhamhotspur #thfc #spurs #nottinghamforest #nfo #nfovstot #nottinghamforestvsspurs #matchweek19 #premierleague #reels #singapore",2,0,"['tottenhamhotspur', 'thfc', 'spurs', 'nottinghamforest', 'nfo', 'nfovstot', 'nottinghamforestvsspurs', 'matchweek19', 'premierleague', 'reels', 'singapore']",True,https://instagram.fsin15-1.fna.fbcdn.net/o1/v/t16/f2/m86/AQPaRedIA5-KIw9qqz0fNRqdO9iVL1ygxMMOQCJGLRrXZo3XfuBalmcRJ27Rj2_1B_mT4ciWt52TmNXukZRMZCJx1674P0xAMSv8gjw.mp4?stp=dst-mp4&efg=eyJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSIsInZlbmNvZGVfdGFnIjoidnRzX3ZvZF91cmxnZW4uY2xpcHMuYzIuNzIwLmJhc2VsaW5lIn0&_nc_cat=111&vs=478342761565571_3109177766&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC8zMTRDNjFFQTJGODlGMzI1NjE2OTFBNEI4RDdCQTJBNl92aWRlb19kYXNoaW5pdC5tcDQVAALIAQAVAhg6cGFzc3Rocm91Z2hfZXZlcnN0b3JlL0dLV1dHQndSeGpxY1YxZ0NBT2hzMFRzaU8zNUticV9FQUFBRhUCAsgBACgAGAAbABUAACbWt7ejxIWiQBUCKAJDMywXQBuZmZmZmZoYEmRhc2hfYmFzZWxpbmVfMV92MREAdf4HAA%3D%3D&ccb=9-4&oh=00_AYD8rVLIdpX9TkxWxlekr89dZKXcvBzKjdyMcnSwAI3HXg&oe=678BF9AF&_nc_sid=8f1549,6.942,,False
beek_speeks,NO,80,DD5EvxczTfO,2024-12-22 19:12:34,"Matchweek 17:
Spurs vs Liverpool

We are clapped, We are indecipherable, We defy the laws of nature, We are outliers in the vast space that we call as the universe, We are Victoria's secret, We let the dogs out, We are fans of Tottenham Hotspur and this is how our story goes!!

Only Daniel Levy and his board can break this unexplained cycle of bizarre events by buying players who fit in critical positions (LB, CB, CDM, GK, Wingers)

That's literally the only way we can get out of this mess

#tottenhamhotspur #thfc #spurs #spursvsliverpool #liverpool #lfc #premierleague #epl #football #reels #mentalhealth #memes",5,0,"['tottenhamhotspur', 'thfc', 'spurs', 'spursvsliverpool', 'liverpool', 'lfc', 'premierleague', 'epl', 'football', 'reels', 'mentalhealth', 'memes']",True,https://instagram.fsin15-2.fna.fbcdn.net/o1/v/t16/f2/m86/AQP8qpjx7UnQca-MYJKws5KSX_tfWrtQQZFddyfbbHFGu05M8c6ywURp0Ly3wIKz-eO26Rv2WE8N9vZf69Hzs-T5gw5ZgGEYcdh6CNk.mp4?stp=dst-mp4&efg=eyJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSIsInZlbmNvZGVfdGFnIjoidnRzX3ZvZF91cmxnZW4uY2xpcHMuYzIuNzIwLmJhc2VsaW5lIn0&_nc_cat=107&vs=879291084284051_2047214192&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC83NTRDNzQyMEI2MjExNzZFM0IyMUMwOTIzNjQxMTY5Ql92aWRlb19kYXNoaW5pdC5tcDQVAALIAQAVAhg6cGFzc3Rocm91Z2hfZXZlcnN0b3JlL0dEclVCUnd4U2RJd1Vpb0NBSEQzQXYxQVBVVWZicV9FQUFBRhUCAsgBACgAGAAbABUAACbMo5mZs%2BCLQBUCKAJDMywXQG8u6XjU%2FfQYEmRhc2hfYmFzZWxpbmVfMV92MREAdf4HAA%3D%3D&ccb=9-4&oh=00_AYDFB_H2ViH7Q1ZU2shJX9YKH-yi3PNTNOJgsNOgKlivEA&oe=678BC756&_nc_sid=8f1549,249.475,,False
beek_speeks,NO,80,DDY5kOJxbRf,2024-12-10 07:15:18,"Matchday 15: 
Spurs vs Chelsea

We need a central voice or even collective voices of hope and optimism to get through this tough phase!!

SACKING ANGE IS NOT THE SOLUTION TO THIS DILEMMA 🙅🏼‍♂️🙅🏼‍♂️🙅🏼‍♂️!! 

This is the time for everyone (players, coaches, staff, fans) in the club to reflect on all of our choices and decisions that brought us to what we are now.

We need to reinvent, rethink, restructure and manage our expectations on the team, given the players we have in the club.

My ball and club operations knowledge is minimal and the best I can ever do from my side is support and stick through the toughest of times.

I truly hope Daniel Levy and the board members take the time to WELL AND TRULY reflect on how they can improve the club, FROM STRICTLY A FOOTBALLING PERSPECTIVE AND NOT INTRODUCE NEW ATTRACTIONS IN THE STADIUM 

As for the players, do what you know best. Do not over-complicate your game and try playing as straightforward as you can. Try not to let the pressure get to you as much as you can. 

Help out your teammates holistically, so that you can lift each others' spirits up.

And as for us fans, let's not abuse our players!! They would be expecting to receive some love and consoling during this tough time ❤️🙏🏼

Let's all pray to get out of the dilemma as soon as we can 🙏🏼🙏🏼🙏🏼

COYS!! TTID 💙🤍😭

#spursvschelsea #spurs #tottenhamhotspur #tottenham #thfc #chelsea #PremierLeague #epl #unitedkingdom #matchweek15 #toughtimes #angepostecoglou #enzomaresca",5,0,"['spursvschelsea', 'spurs', 'tottenhamhotspur', 'tottenham', 'thfc', 'chelsea', 'premierleague', 'epl', 'unitedkingdom', 'matchweek15', 'toughtimes', 'angepostecoglou', 'enzomaresca']",True,https://instagram.fsin15-2.fna.fbcdn.net/o1/v/t16/f2/m86/AQMVybnYGV67lMCaifgCJbXUEn_bGL_BFZMJGq7p_etf8XJukoB9FS9WyUKZKmDFeJ7T3HfRWZFbRkD_R8ed06gFvRkNLWFnd9OzOk0.mp4?stp=dst-mp4&efg=eyJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSIsInZlbmNvZGVfdGFnIjoidnRzX3ZvZF91cmxnZW4uY2xpcHMuYzIuNDc4LmJhc2VsaW5lIn0&_nc_cat=104&vs=1105842580988446_1582188128&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC84MTRBODFCMDkxQjE4OEE3MTUwN0E0OTM2MzQxNkZBOV92aWRlb19kYXNoaW5pdC5tcDQVAALIAQAVAhg6cGFzc3Rocm91Z2hfZXZlcnN0b3JlL0dJc0pBeHlrUWZlUzB6WURBRWdwNG1SdG1YY3licV9FQUFBRhUCAsgBACgAGAAbABUAACbiroOl74WXQBUCKAJDMywXQG7zMzMzMzMYEmRhc2hfYmFzZWxpbmVfMV92MREAdf4HAA%3D%3D&ccb=9-4&oh=00_AYCxsTazCCv8TDc9h5xLFchE61Z7WqUJZArb7P2lZGUaog&oe=678BE7DF&_nc_sid=8f1549,247.687,,False
beek_speeks,NO,80,DCuiGuIzZEn,2024-11-23 20:24:02,"Matchweek 12:
Manchester City vs Spurs

A brand new dawn 🌄
A brand new era 😄

A fabulous start, post the recent rebrand of the club!!

If we play like this every week, we will be a statement team in all of Europe!!!

COME ON YOU SPURS 🤍💙‼️ 

#tottenhamhotspur #thfc #spurs #spursindia #mancity #matchweek12 #premierleague  #mancityvsspurs #pepguardiola #angepostecoglou  #football #footballreels #footballreactions #memes #reels #instafootball #indian #singapore #malaysia #thailand #unitedkingdom",6,0,"['tottenhamhotspur', 'thfc', 'spurs', 'spursindia', 'mancity', 'matchweek12', 'premierleague', 'mancityvsspurs', 'pepguardiola', 'angepostecoglou', 'football', 'footballreels', 'footballreactions', 'memes', 'reels', 'instafootball', 'indian', 'singapore', 'malaysia', 'thailand', 'unitedkingdom']",True,https://instagram.fsin15-2.fna.fbcdn.net/o1/v/t16/f2/m86/AQMIJPrRRtUyeDP1YRZwYxXsjoA-XM0QzEKgQGuSaTB__KvZIgxcBUOHz5I_JIVYiXJMIAQejkwPfjXeCzBstKv7sboT_bhHk6_kz3o.mp4?stp=dst-mp4&efg=eyJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSIsInZlbmNvZGVfdGFnIjoidnRzX3ZvZF91cmxnZW4uY2xpcHMuYzIuNzIwLmJhc2VsaW5lIn0&_nc_cat=103&vs=1213814343014980_1940108166&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC9DNzQyNURCNjk4N0ZEMTc5OTk2QTFDRjlFQzhGOTI4N192aWRlb19kYXNoaW5pdC5tcDQVAALIAQAVAhg6cGFzc3Rocm91Z2hfZXZlcnN0b3JlL0dELVczeHR6X0dmOHhDWURBQmtJSHZsMjBKY0NicV9FQUFBRhUCAsgBACgAGAAbABUAACbYgsT%2BjNaEQBUCKAJDMywXQGxDvnbItDkYEmRhc2hfYmFzZWxpbmVfMV92MREAdf4HAA%3D%3D&ccb=9-4&oh=00_AYB7FgQ0WUSxxCDmyCXWJT-ozSfFg0Z00jLlQ_7faWMpaw&oe=678BD1D4&_nc_sid=8f1549,226.162,,False
beek_speeks,NO,80,DCMpfXSR1JT,2024-11-10 16:33:37,"Matchweek 11: 
Spurs vs Ipswich Town

WE ARE NEVER EVER GONNA WIN TROPHIES IF THIS IS HOW WE BOTTLE SUCH GOLDEN CHANCES TO GET INTO THE TOP 4 🤬❌🏆

ABSOLUTELY EMBARRASSING 😤😤

#thfc #tottenhamhotspur #spurs #ipswichtown #spursvsipswichtown #edsheeran #premierleague  #matchweek11 #indian #singapore #malaysia #instafootball #football #rage #unitedkingdom",6,0,"['thfc', 'tottenhamhotspur', 'spurs', 'ipswichtown', 'spursvsipswichtown', 'edsheeran', 'premierleague', 'matchweek11', 'indian', 'singapore', 'malaysia', 'instafootball', 'football', 'rage', 'unitedkingdom']",True,https://instagram.fsin15-2.fna.fbcdn.net/o1/v/t16/f2/m86/AQOo-Jlcolv8sjYC_3BcurSISahOaPVg8bxCkdO5f5rh7wvOiwVZlCqYFHgK7vbzQGadqvI17sF_wNTpEmvT0aw5bPGf4-buRybhEKM.mp4?stp=dst-mp4&efg=eyJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSIsInZlbmNvZGVfdGFnIjoidnRzX3ZvZF91cmxnZW4uY2xpcHMuYzIuNzIwLmJhc2VsaW5lIn0&_nc_cat=106&vs=1260056748460751_547130331&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC8xQjQzM0NFMjAxREM5NEYzMTRCOUE5MzQyMDQwRTc5Rl92aWRlb19kYXNoaW5pdC5tcDQVAALIAQAVAhg6cGFzc3Rocm91Z2hfZXZlcnN0b3JlL0dKRFp6eHZ5alF4b0I0SUZBQTIzMi1ZdjJRRnNicV9FQUFBRhUCAsgBACgAGAAbABUAACailJyk7b6BQBUCKAJDMywXQGWap%2B%2Bdsi0YEmRhc2hfYmFzZWxpbmVfMV92MREAdf4HAA%3D%3D&ccb=9-4&oh=00_AYDxlPLKI_3POjvCdaj-yR-J0nG7_S3D0bBx1yDGH1fEYg&oe=678BC7C0&_nc_sid=8f1549,172.966,,False
beek_speeks,NO,80,DCFWGj-RFux,2024-11-07 20:29:45,"Matchweek 4 of Europa League:
Galatasaray vs Spurs

The defending until the time Lankshear got sent off, was abysmal. I think even a team like Albirex Niigata would've defended better over there 🤦

The second half was clear evidence to see that our First team's mentality is strong, after the introduction of Kulu, Solanke, Sarr and Bentancur 💪🧠

Lankshear must be proud of bagging his first senior goal, but must really work on his composure 

I'm baffled by the removal of Son and Brennan after the first half!! Idk if Ange did that to retain their fitness or was just a tactical change

To summarise, I think our fringe players and youngsters need to build more confidence to avoid such capitulations

We'll take valuable lessons from the game and we move forward 🤍💙💪!!

#thfc #tottenhamhotspur #thfcindia #thfcsingapore #spursindia #spurssingapore
#spurs🤍💙 #coys #galatasaray💛❤ #galatasarayvsspurs #angepostecoglou #okanburuk #europaleague #epl #premierleague #football #instafootball  #unitedkingdom #turkey #singapore #india #malaysia #indonesia #thailand",7,0,"['thfc', 'tottenhamhotspur', 'thfcindia', 'thfcsingapore', 'spursindia', 'spurssingapore', 'spurs', 'coys', 'galatasaray', 'galatasarayvsspurs', 'angepostecoglou', 'okanburuk', 'europaleague', 'epl', 'premierleague', 'football', 'instafootball', 'unitedkingdom', 'turkey', 'singapore', 'india', 'malaysia', 'indonesia', 'thailand']",True,https://instagram.fsin15-1.fna.fbcdn.net/o1/v/t16/f2/m86/AQOX4tfKPAHhEwMEAQ5tnHd39SIboUl47eIw1O0dFyiQqrrWRIq8RHeXyG5SYS7y81s6Bgi034xdsDFPDf89VmRmbxXvwZBeZrSYoNA.mp4?stp=dst-mp4&efg=eyJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSIsInZlbmNvZGVfdGFnIjoidnRzX3ZvZF91cmxnZW4uY2xpcHMuYzIuNzIwLmJhc2VsaW5lIn0&_nc_cat=101&vs=429634763282410_3872710555&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC8xQTRGNDc2Q0VBQzFEMDkzODE1RDkwMTYzMDk3MDc4N192aWRlb19kYXNoaW5pdC5tcDQVAALIAQAVAhg6cGFzc3Rocm91Z2hfZXZlcnN0b3JlL0dIcnd3eHNEbWVuWVRMOEVBSmxKQ1BQaEMzSjhicV9FQUFBRhUCAsgBACgAGAAbABUAACbErP2AuJmcQBUCKAJDMywXQHSwAAAAAAAYEmRhc2hfYmFzZWxpbmVfMV92MREAdf4HAA%3D%3D&ccb=9-4&oh=00_AYD3iY1KkA9SCDDCOOSlqsQwYDg6pYxoi-gypS8FsJ3kbg&oe=678BD2E1&_nc_sid=8f1549,331.07,,False
beek_speeks,NO,80,DB6rrGcxsWS,2024-11-03 17:08:13,,10,2,[],True,https://instagram.fsin15-1.fna.fbcdn.net/o1/v/t16/f2/m86/AQOxWS07t5on-WkbH1liN-RqxYF985zFN8CF2BHHiiTXlF-LBSWNbAAgtEY8ssCTr8HoOJh7Umf-4oN8SYgPpDYJBh9gHXUjGZthFeg.mp4?stp=dst-mp4&efg=eyJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSIsInZlbmNvZGVfdGFnIjoidnRzX3ZvZF91cmxnZW4uY2xpcHMuYzIuNzIwLmJhc2VsaW5lIn0&_nc_cat=111&vs=4358360374390861_3691967102&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC9BMzRFOUZCNDEyODg2NTEwM0ZFNjlFMEFGRDE1OEVCRV92aWRlb19kYXNoaW5pdC5tcDQVAALIAQAVAhg6cGFzc3Rocm91Z2hfZXZlcnN0b3JlL0dOUXJ3QnNyVjJNeUQzb0VBRXBLOFJGenhXY3BicV9FQUFBRhUCAsgBACgAGAAbABUAACbUlbrYjrm%2FPxUCKAJDMywXQGh3dLxqfvoYEmRhc2hfYmFzZWxpbmVfMV92MREAdf4HAA%3D%3D&ccb=9-4&oh=00_AYDDS9DP0Ifl4-qVa4Ud9UGSOTxgf1ZwqbVXeCS6KIbHIw&oe=678BDE0A&_nc_sid=8f1549,195.837,,False
