owner_username,is_verified,followers,shortcode,timestamp,caption,likes,comments,hashtags,is_video,video_url,video_duration,image_url,is_sponsored
pubity,YES,39439735,DES6VyXTkcI,2025-01-01 19:56:23,"Swipe ⬅️ Thanks to conservation efforts, many species have seen significant population recoveries. 

Here are the population numbers from previous years to 2025 for some iconic animals 🐅

-
#news #viral #pubity",2208459,12165,"['news', 'viral', 'pubity']",False,,,https://instagram.fsin15-1.fna.fbcdn.net/v/t51.29350-15/472086123_1105207437906584_5849853299656524388_n.jpg?stp=dst-jpg_e35_tt6&_nc_ht=instagram.fsin15-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=fZri986M_QEQ7kNvgGlzd9u&_nc_gid=d02d7f526cdf47b0b959ae157cf9187c&edm=AEhyXUkBAAAA&ccb=7-5&ig_cache_key=MzUzNjE0NTIyODA2MTY4NzU4OQ%3D%3D.3-ccb7-5&oh=00_AYBf66_AMUMtMlm1PNkT8cgC7X9FuKMe1MfuDPRZOCID1w&oe=678FD11D&_nc_sid=8f1549,False
pubity,YES,39439735,C_CDSp5y-RY,2024-08-24 00:10:33,An important reminder from Keanu Reeves to enjoy the moment and stop treating yourself like an afterthought. ❤️,1806147,5518,[],False,,,https://instagram.fsin15-1.fna.fbcdn.net/v/t51.29350-15/456641088_1160898428320932_2051904053683973840_n.jpg?stp=dst-jpg_e35_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMzUweDE2ODcuc2RyLmYyOTM1MC5kZWZhdWx0X2ltYWdlIn0&_nc_ht=instagram.fsin15-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=jvMuwQX5YzIQ7kNvgHLCtlf&_nc_gid=d02d7f526cdf47b0b959ae157cf9187c&edm=AEhyXUkBAAAA&ccb=7-5&ig_cache_key=MzQ0MTMyNzU0MTM0NzY3MzE3Ng%3D%3D.3-ccb7-5&oh=00_AYANnu6PkhEi26lGb5SckQtWaJJpegYIlBQfqITVu0NOtQ&oe=678FE664&_nc_sid=8f1549,False
pubity,YES,39439735,C9f6E7hI9Hb,2024-07-16 21:24:27,"Swipe ➡️ to see Gordon Ramsay announce the winner 🏆🇲🇦

Our fans voted for Moroccan cuisine as the ‘best cuisine in the world’ in a 60% vs 40% decision over Mexico.

Millions of you voted! Thank you for being a part of the @pubity community and thank you to @gordongram for announcing the winner!

-
#viral #polls #morocco #gordonramsay #youdecide #pubity",609362,42991,"['viral', 'polls', 'morocco', 'gordonramsay', 'youdecide', 'pubity']",False,,,https://instagram.fsin15-1.fna.fbcdn.net/v/t39.30808-6/451483130_18460429603044850_3694542558357207815_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=instagram.fsin15-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=JOW0TlM7FocQ7kNvgEVpbcX&_nc_gid=d02d7f526cdf47b0b959ae157cf9187c&edm=AEhyXUkAAAAA&ccb=7-5&ig_cache_key=MzQxMzcwMjQ1MzIyOTcwMTI5MQ%3D%3D.3-ccb7-5&oh=00_AYDFcGqxWiUpa7iT_uy7NEHbiq2jDkvQG2x_1AJct3WHzA&oe=678FE20B&_nc_sid=8f1549,False
pubity,YES,39439735,DE6vblrxcZ_,2025-01-17 07:10:41,"This week, stargazers have the chance to witness a six-planet alignment, with Venus, Mars, Jupiter, Saturn, Uranus, and Neptune forming a celestial arc in the southern and eastern skies. 🪐🤩

The event peaks in visibility on the nights of January 17 and 18, shortly after sunset. Four of these planets—Venus, Mars, Jupiter, and Saturn—will be visible to the naked eye, while Uranus and Neptune require a telescope for observation.

Such alignments, while visually stunning, are not as rare as one might think. They occur when planets align in the same sector of the sky due to their orbits around the Sun.",8582,67,[],False,,,https://instagram.fsin15-1.fna.fbcdn.net/v/t51.2885-15/473140699_18496438108044850_4824468955006757494_n.jpg?stp=dst-jpg_e15_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMzUweDE2ODguc2RyLmY3NTc2MS5kZWZhdWx0X2ltYWdlIn0&_nc_ht=instagram.fsin15-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=NbYvP6AutdYQ7kNvgFcSE4H&_nc_gid=d02d7f526cdf47b0b959ae157cf9187c&edm=AEhyXUkBAAAA&ccb=7-5&ig_cache_key=MzU0NzM1NjI2MDU4MjQwOTg1NQ%3D%3D.3-ccb7-5&oh=00_AYDvYzfroBDfDtODkE-_JSl-5w325TPNfPo96_N4OvQ-SA&oe=678FCF17&_nc_sid=8f1549,False
pubity,YES,39439735,DE6b1q-xiBb,2025-01-17 04:19:29,"Swipe ⬅️ to take a look at some things that came out on this day in January throughout the years. 🕦

Which of these is your favorite?! 🤔",45240,221,[],False,,,https://instagram.fsin15-1.fna.fbcdn.net/v/t51.2885-15/474150600_18496421929044850_3467509471763161046_n.jpg?stp=dst-jpg_e15_fr_p1080x1080_tt6&_nc_ht=instagram.fsin15-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=QLvYFStF5BYQ7kNvgEW1X33&_nc_gid=d02d7f526cdf47b0b959ae157cf9187c&edm=AEhyXUkBAAAA&ccb=7-5&ig_cache_key=MzU0NzI3MDA3ODQ2NDgxNzQ4Nw%3D%3D.3-ccb7-5&oh=00_AYDwM9d1WI_KFTsxTA05G9_3FBa5rpe-AWFOBG39teCWKQ&oe=678FDF6D&_nc_sid=8f1549,False
pubity,YES,39439735,DE6LMpHPilI,2025-01-17 01:54:04,"The Biden administration has indicated it will not enforce the nationwide TikTok ban set to take effect on Sunday, leaving the decision to President-elect Donald Trump. 🇺🇸📱

While the law targets app stores and hosting services supporting TikTok due to its Chinese ownership, the Biden team says the timing, just one day before the inauguration, shifts the responsibility to the next administration. 

Despite the looming ban, tech companies like Apple and Google have yet to reveal how they will proceed. Meanwhile, Trump has expressed his intent to save the platform, citing its popularity and role in his campaign. 

Reports suggest Trump’s team is exploring options to delay or negotiate the ban, including a potential executive order. The Supreme Court’s ruling on the ban and Trump’s next steps are expected to shape TikTok’s future in the U.S.

What do you think will happen?! 🤔",179362,2198,[],False,,,https://instagram.fsin15-1.fna.fbcdn.net/v/t51.2885-15/474117765_18496406077044850_8271992609397298706_n.jpg?stp=dst-jpg_e15_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMzUweDE2ODguc2RyLmY3NTc2MS5kZWZhdWx0X2ltYWdlIn0&_nc_ht=instagram.fsin15-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=WvnmEkvHPVcQ7kNvgFOT_j9&_nc_gid=d02d7f526cdf47b0b959ae157cf9187c&edm=AEhyXUkBAAAA&ccb=7-5&ig_cache_key=MzU0NzE5NjkwMzc5Nzk1ODk4NA%3D%3D.3-ccb7-5&oh=00_AYB4ylqdAwx5XNCGDsJ1hrXF4Y3FrnSD86ayUM5kYqGjaw&oe=678FD37F&_nc_sid=8f1549,False
pubity,YES,39439735,DE57TK8yO4w,2025-01-16 23:35:09,"You NEED to follow @pubityes for the best content in Spanish ☀️

Swipe ⬅️ A Peruvian animal shelter rescued and rehabilitated an abandoned dog, giving a second chance at life after dealing with major adversity.

Via: @tifagrados.rescate.animal",41554,594,[],False,,,https://instagram.fsin15-1.fna.fbcdn.net/v/t51.2885-15/473922680_18496390432044850_2241154030766023026_n.jpg?stp=dst-jpg_e15_fr_p1080x1080_tt6&_nc_ht=instagram.fsin15-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=bHWB2tWT2EkQ7kNvgEAbRUN&_nc_gid=d02d7f526cdf47b0b959ae157cf9187c&edm=AEhyXUkBAAAA&ccb=7-5&ig_cache_key=MzU0NzEyNjk3NTkwOTQ1NjI0NQ%3D%3D.3-ccb7-5&oh=00_AYDbc7kjhFO8p5Ebh6_DQ-s6nlEI3g-AaUihztPof7a3rw&oe=678FED84&_nc_sid=8f1549,False
pubity,YES,39439735,DE5pjiSzIYG,2025-01-16 21:00:00,"A Rover.com study, The Truth About Dog People, found that 65% of dog owners take more photos of their pets than their significant others.

The survey of thousands revealed that 54% would consider ending a relationship if their dog disliked their partner. 

47% find it harder to leave their dog than their partner, and 56% greet their dog first when arriving home.

-

#study #dogs #pets #pubity",252680,1514,"['study', 'dogs', 'pets', 'pubity']",False,,,https://instagram.fsin15-1.fna.fbcdn.net/v/t51.2885-15/473795636_18496354483044850_6965812585203924307_n.jpg?stp=dst-jpg_e15_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMzUweDE2ODcuc2RyLmY3NTc2MS5kZWZhdWx0X2ltYWdlIn0&_nc_ht=instagram.fsin15-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=uUsJbhHxK1QQ7kNvgFupMk8&_nc_gid=d02d7f526cdf47b0b959ae157cf9187c&edm=AEhyXUkBAAAA&ccb=7-5&ig_cache_key=MzU0NzA0ODk0MzQ0MjIzMjgzOA%3D%3D.3-ccb7-5&oh=00_AYBMjqSZeXNl0uTvuES-AX3kyvK-sRAB4PJn4ZBR974p5g&oe=678FEF1C&_nc_sid=8f1549,False
pubity,YES,39439735,DE5iHsPiXyM,2025-01-16 19:55:08,"THE BATTLE FOR THE TITLE 🎬🏆 - Head to our story to vote on the 5th and final round of matchups and support your favorite movie‼️

-
#viral #polls #YouDecide #kungfupanda #deadpoolandwolverine #pubity",24217,659,"['viral', 'polls', 'youdecide', 'kungfupanda', 'deadpoolandwolverine', 'pubity']",False,,,https://instagram.fsin15-1.fna.fbcdn.net/v/t51.2885-15/472565117_18496363987044850_8277218530121343678_n.jpg?stp=dst-jpg_e15_fr_p1080x1080_tt6&_nc_ht=instagram.fsin15-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=EIHbWE9GgagQ7kNvgGtrwyy&_nc_gid=d02d7f526cdf47b0b959ae157cf9187c&edm=AEhyXUkBAAAA&ccb=7-5&ig_cache_key=MzU0NzAxNjIyMjkyNTc0Mzc5Mg%3D%3D.3-ccb7-5&oh=00_AYAkobVplWWPiMMnuto-nkkL-QisC2ay_XTBXODjVEZ8EA&oe=678FD730&_nc_sid=8f1549,False
pubity,YES,39439735,DE5ZtkNiEJ6,2025-01-16 18:41:39,"David Lynch, the visionary filmmaker renowned for works like “Twin Peaks,” “Blue Velvet,” and “Mulholland Drive,” has passed away at the age of 78. 

His family announced his death on January 16, 2025.  Lynch’s distinctive “Lynchian” style, marked by surreal and dreamlike elements, significantly influenced modern cinema. In August 2024, he revealed he had been diagnosed with emphysema, attributed to his years of smoking. 

Beyond filmmaking, Lynch was also a painter, musician, and advocate for Transcendental Meditation. He is survived by his four children from previous marriages.

RIP 🙏",154716,1095,[],False,,,https://instagram.fsin15-1.fna.fbcdn.net/v/t51.2885-15/470920004_18496353379044850_3305236610102194989_n.jpg?stp=dst-jpg_e15_fr_p1080x1080_tt6&_nc_ht=instagram.fsin15-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=pPobUljvQyAQ7kNvgEQqPDR&_nc_gid=d02d7f526cdf47b0b959ae157cf9187c&edm=AEhyXUkBAAAA&ccb=7-5&ig_cache_key=MzU0Njk3OTI1MDI1MzM3NDQ0Nw%3D%3D.3-ccb7-5&oh=00_AYBaEZSmkz-nKeOcR5Om5qXKZ3M1Tk_RpFztscY4gwyUpw&oe=678FCBED&_nc_sid=8f1549,False
