owner_username,is_verified,followers,shortcode,timestamp,caption,likes,comments,hashtags,is_video,video_url,video_duration,image_url,is_sponsored
sgagsg,YES,824208,DE6gonNyDr3,2025-01-17 05:01:23,insanity,4567,16,[],False,,,https://instagram.fsin15-2.fna.fbcdn.net/v/t51.29350-15/474026638_4115640005338507_41365847119100476_n.jpg?stp=dst-jpg_e35_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi43OTB4NjA2LnNkci5mMjkzNTAuZGVmYXVsdF9pbWFnZSJ9&_nc_ht=instagram.fsin15-2.fna.fbcdn.net&_nc_cat=107&_nc_ohc=8q3yEchQJE4Q7kNvgFEAd4P&_nc_gid=4744ee627fd345db955ab65110643f75&edm=AEhyXUkBAAAA&ccb=7-5&ig_cache_key=MzU0NzI5MTE4NDg4MjI2ODkxOQ%3D%3D.3-ccb7-5&oh=00_AYB24pPs47v_C1chfgru1VFTnHFpIcdjXC2no85nwo9NgA&oe=678FCA9B&_nc_sid=8f1549,False
sgagsg,YES,824208,DE6ZnkZNUC4,2025-01-17 04:00:05,"then just now you don’t want ownself order

LOL Sam why you behave like this ah, to see why check out @miludinosaur's video where she and Isabelle fought over chicken wings! Plus you can also win a ton of prizes for yourself from the Wipe N’ Win with @zappysg campaign too!

this post is in partnership with Zappy",2290,5,[],False,,,https://instagram.fsin15-1.fna.fbcdn.net/v/t39.30808-6/473687858_1015628823928999_3274019761620096124_n.jpg?stp=cp6_dst-jpg_e15_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDY4eDEzMjYuc2RyLmYzMDgwOC5kZWZhdWx0X2ltYWdlIn0&_nc_ht=instagram.fsin15-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=USaMWOM2UL8Q7kNvgEDsPal&_nc_gid=4744ee627fd345db955ab65110643f75&edm=AEhyXUkAAAAA&ccb=7-5&ig_cache_key=MzU0NzI2MDMyNjgwNzY4MzI1Ng%3D%3D.3-ccb7-5&oh=00_AYCtSekBXwy801u1Qq1fU_bHC41tH_Wogo7G0xeYpkAeUQ&oe=678FC580&_nc_sid=8f1549,False
miludinosaur,YES,824208,DE4bDQ8yHF1,2025-01-16 09:38:26,"woww 每个人好像赢到很多钱hor，看来大家都准备好拜年了 🥳🧧
if you guys want to win more, faster download the Lendlease Plus mobile app! Can win many many vouchers and over 180,000,000 Plus$ are up for grabs!

This is in paid partnership with @313somerset , @jemsingapore , @parkwayparadesg & @payalebarquarter",603,5,[],True,https://instagram.fsin15-2.fna.fbcdn.net/o1/v/t16/f2/m86/AQNZWMmL7phC9EYf4YhG78VcW6MCAgKhD0Js1RpJVjdCWw7QboTIjNjuBhpwL6edOQgQpMT6GnZDIdboeUgOgUN-FAJS-d8n54k7vzo.mp4?stp=dst-mp4&efg=eyJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSIsInZlbmNvZGVfdGFnIjoidnRzX3ZvZF91cmxnZW4uY2xpcHMuYzIuNzIwLmJhc2VsaW5lIn0&_nc_cat=104&vs=621440547077674_4001880485&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC9GODRGRjIxREY3NzdDMDYxRDY0QjhDQjZGQjNGQjk5NF92aWRlb19kYXNoaW5pdC5tcDQVAALIAQAVAhg6cGFzc3Rocm91Z2hfZXZlcnN0b3JlL0dMTWFPaHh4dVVGTDNtOEVBSUZtVlg4ampZSnlicV9FQUFBRhUCAsgBACgAGAAbABUAACbW0abD6%2BCOQRUCKAJDMywXQFe90vGp%2B%2BcYEmRhc2hfYmFzZWxpbmVfMV92MREAdf4HAA%3D%3D&ccb=9-4&oh=00_AYDSudwfHnFeUTAsMNxrYrrnQq0ubY0CZ-yiq6EuJk-1KA&oe=678BEEEB&_nc_sid=8f1549,94.966,,False
sgagsg,YES,824208,DE30wNrPjej,2025-01-16 04:03:27,"MIXED WITH WHAT??

#food",3634,66,['food'],True,https://instagram.fsin15-2.fna.fbcdn.net/o1/v/t16/f2/m86/AQOv1MZaB9tveAHqOXLLfh5iYLG_Bmvb3LEcQ065LlSmp7bMTDbxZvpLMbo_gooOnroQrCaJBqlI7nHwM49utntJvJP_m_QOBpYVE-s.mp4?stp=dst-mp4&efg=eyJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSIsInZlbmNvZGVfdGFnIjoidnRzX3ZvZF91cmxnZW4uY2xpcHMuYzIuNzA4LmJhc2VsaW5lIn0&_nc_cat=107&vs=1280355033231323_2507409176&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC9CRjQyMEZEM0UyMzNGQjg2MTI0NENFQjZCMDkwMTE5Nl92aWRlb19kYXNoaW5pdC5tcDQVAALIAQAVAhg6cGFzc3Rocm91Z2hfZXZlcnN0b3JlL0dFRzdPeHpMaVRzYUxPUUtBRGVCemYyNnBFZ2VicV9FQUFBRhUCAsgBACgAGAAbABUAACayv9bp4sjJPxUCKAJDMywXQFIRBiTdLxsYEmRhc2hfYmFzZWxpbmVfMV92MREAdf4HAA%3D%3D&ccb=9-4&oh=00_AYAWrXsxss4DIzBosjuX2lhu3kzTQrx0zEPeGKMtOGV-sw&oe=678BCA38&_nc_sid=8f1549,72.306,,False
sgagsg,YES,824208,DE3uGxOTRJm,2025-01-16 03:01:23,not we say one,11436,50,[],False,,,https://instagram.fsin15-1.fna.fbcdn.net/v/t39.30808-6/473757730_1015647613927120_1808655847625154353_n.jpg?stp=dst-jpg_e15_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMzk0eDEyMzIuc2RyLmYzMDgwOC5kZWZhdWx0X2ltYWdlIn0&_nc_ht=instagram.fsin15-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=rk2_gu_usk0Q7kNvgHkwqw8&_nc_gid=4744ee627fd345db955ab65110643f75&edm=AEhyXUkAAAAA&ccb=7-5&ig_cache_key=MzU0NjUwNjAwNjg4NzIwNzUyNg%3D%3D.3-ccb7-5&oh=00_AYDkqciLIredHcAsOc5PdCHE1Nt_otXzztFK9T7uF9WHxw&oe=678FE7AB&_nc_sid=8f1549,False
sgagsg,YES,824208,DE2AUORvUsX,2025-01-15 11:03:01,"When in doubt, everyone is 叔叔 阿姨 — JIAYOU guys 💪🏻
Happy Chinese New Year from SGAG, MGAG and Coca-Cola! 🧧 

This post is in partnership with @cocacolasg & @cocacolamy 

#CocaColaSG #CocaColaMY #CokeCNYRealMagic #HeartfeltWishes #Sp",1740,61,"['cocacolasg', 'cocacolamy', 'cokecnyrealmagic', 'heartfeltwishes', 'sp']",True,https://instagram.fsin15-2.fna.fbcdn.net/o1/v/t16/f2/m86/AQOsOti-X3AL0z2uBpAg1YN6nZzaMFuyfhKzCApdDqkuqM-2wchuKIL9ORZEBj07VwjVTAvj42Vd0iy_mxmHe1I5cITgat6rOKO6b3k.mp4?stp=dst-mp4&efg=eyJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSIsInZlbmNvZGVfdGFnIjoidnRzX3ZvZF91cmxnZW4uY2xpcHMuYzIuNzIwLmJhc2VsaW5lIn0&_nc_cat=100&vs=591353723605381_3179921365&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC85NzQ4NDc5NUVFMEU0NTBGMURFOTY2MzIzRjgyRjdBRF92aWRlb19kYXNoaW5pdC5tcDQVAALIAQAVAhg6cGFzc3Rocm91Z2hfZXZlcnN0b3JlL0dCbjVPaHhRUWVGcGtMb0JBREpETlhvSFBrY1FicV9FQUFBRhUCAsgBACgAGAAbABUAACbQstihjPCaQRUCKAJDMywXQFyj1wo9cKQYEmRhc2hfYmFzZWxpbmVfMV92MREAdf4HAA%3D%3D&ccb=9-4&oh=00_AYDUOBjRTa53NybyC-DRR4mZtneaQYSeuLJUWUCTYpYG1Q&oe=678BE755&_nc_sid=8f1549,114.56,,False
sgagsg,YES,824208,DE1o-jBzyrM,2025-01-15 07:38:05,this keeps happening for some reason,5982,20,[],False,,,https://instagram.fsin15-1.fna.fbcdn.net/v/t39.30808-6/473676559_1015072340651314_5378888528886999397_n.jpg?stp=dst-jpg_e15_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMjM2eDEzODguc2RyLmYzMDgwOC5kZWZhdWx0X2ltYWdlIn0&_nc_ht=instagram.fsin15-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=SyzFOFO1hsIQ7kNvgH90M3O&_nc_gid=4744ee627fd345db955ab65110643f75&edm=AEhyXUkAAAAA&ccb=7-5&ig_cache_key=MzU0NTkyMDUwMTcwMzQ1MzM4OA%3D%3D.3-ccb7-5&oh=00_AYDkxl16UgXfQDK0vdOxSYh6RRRowbjzt5o94SznKAUyUg&oe=678FE788&_nc_sid=8f1549,False
sgagsg,YES,824208,DE1QCRlsHLc,2025-01-15 04:00:09,"Wah damn lucky sia!
But don’t be disheartened because you can now take part in @foodpandasg’s giveaway on their instagram from 13 Jan - 22 Jan where you can win steamboat bundles for your ENTIRE block or Pau-Pau Mahjong Sets!
Join their giveaway here <https://bit.ly/FPCNY25xSGAG-M> or link in bio!

That’s not all because now you also enjoy 88 cents delivery from selected restaurants (like Burger King and Pizza Hut) and over 20% off daily grocery deals when you order from pandamart, Giant and Cold Storage on foodpanda! 
Check out the foodpanda app for all the promos you can enjoy. 

This post is in partnership with @foodpandasg",11277,23,[],False,,,https://instagram.fsin15-1.fna.fbcdn.net/v/t39.30808-6/473564423_1014966867328528_7626330667578613993_n.jpg?stp=cp6_dst-jpg_e15_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDcweDEwNzAuc2RyLmYzMDgwOC5kZWZhdWx0X2ltYWdlIn0&_nc_ht=instagram.fsin15-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=IeI0s9sq1VwQ7kNvgEFkxIn&_nc_gid=4744ee627fd345db955ab65110643f75&edm=AEhyXUkAAAAA&ccb=7-5&ig_cache_key=MzU0NTgxMDgwNjY5MzE5NjUwOA%3D%3D.3-ccb7-5&oh=00_AYBv2MrN5fLrKrEB-BiITOM-V_zLN2OPajBxnQPr6nN2mQ&oe=678FDB12&_nc_sid=8f1549,False
sgagsg,YES,824208,DEzUeQ6uKSB,2025-01-14 10:00:26,"oops... too late! 

i'll send an e-angpao from Bangkok, Langkawi, Bali, Siem Reap, Jaipur, Delhi, and more, thanks to low fares starting from $71! Applicable to bookings from now until 19 Jan, and travel from 3 Feb to 20 Nov! Book now! https://air.asia/5sCh5 or link in bio! 

This post is in partnership with @flyairasia.sin 

#AirAsia #CNY #flightdiscount",2193,4,"['airasia', 'cny', 'flightdiscount']",False,,,https://instagram.fsin15-2.fna.fbcdn.net/v/t39.30808-6/473603641_1014243490734199_6890160828764710423_n.jpg?stp=dst-jpg_e15_fr_s1080x1080_tt6&_nc_ht=instagram.fsin15-2.fna.fbcdn.net&_nc_cat=107&_nc_ohc=V9tT_Q2M3LUQ7kNvgHjfnoK&_nc_gid=4744ee627fd345db955ab65110643f75&edm=AEhyXUkAAAAA&ccb=7-5&ig_cache_key=MzU0NTI2NzM1OTUxNTc1NzY0OA%3D%3D.3-ccb7-5&oh=00_AYA1sfTcCdvUmbLGZTJRzPwYEMm6QFUBqt3kaaWN1jnYmA&oe=678FE8D0&_nc_sid=8f1549,False
sgagsg,YES,824208,DEzOOcqB2Qz,2025-01-14 09:07:43,"Can we get videos of @tampinesfs doing CPR to phonk please 😩🙏🏻 

#nolaughingmatterzaki #LifesavingItsLifechanging #TheLifeSavingForce #mySCDF

Find out more at: go.gov.sg/scdfjoinus

This is in partnership with @scdfcareers",6311,113,"['nolaughingmatterzaki', 'lifesavingitslifechanging', 'thelifesavingforce', 'myscdf']",True,https://instagram.fsin15-1.fna.fbcdn.net/o1/v/t16/f2/m86/AQONlJuxnFM3CFlGN-PP5WVtqVVIix-OZVbEgd-TfEl10mj4xaoadLVbP7y0qIf0UzFUaWCwWsRIINJiXxl6emPwgWdkDnev9J498Is.mp4?stp=dst-mp4&efg=eyJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSIsInZlbmNvZGVfdGFnIjoidnRzX3ZvZF91cmxnZW4uY2xpcHMuYzIuNzIwLmJhc2VsaW5lIn0&_nc_cat=108&vs=1191074506358899_892827447&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC82MjQ1NzI1QjJFNEUwQjg3MzU0NTNCMzY4M0IzMDdBOV92aWRlb19kYXNoaW5pdC5tcDQVAALIAQAVAhg6cGFzc3Rocm91Z2hfZXZlcnN0b3JlL0dIM2VMeHhGRF9URU04RUVBQWkxNUkxWWNpazJicV9FQUFBRhUCAsgBACgAGAAbABUAACb%2B8vvu58G5QBUCKAJDMywXQFGZmZmZmZoYEmRhc2hfYmFzZWxpbmVfMV92MREAdf4HAA%3D%3D&ccb=9-4&oh=00_AYAVd9KpBr36F8von6CZSuZJGGJ3xIMHGFPoI2MOWI84kg&oe=678BE667&_nc_sid=8f1549,70.4,,False
